appflow;CancelFlowExecutions,CreateConnectorProfile,CreateFlow,DeleteConnectorProfile,DeleteFlow,DescribeConnector,DescribeConnectorEntity,DescribeConnectorFields,DescribeConnectorProfiles,DescribeConnectors,DescribeFlow,DescribeFlowExecution,DescribeFlowExecutionRecords,DescribeFlows,ListConnectorEntities,ListConnectorFields,ListConnectors,ListFlows,ListTagsForResource,RegisterConnector,ResetConnectorMetadataCache,RunFlow,StartFlow,StopFlow,TagResource,UnRegisterConnector,UntagResource,UpdateConnectorProfile,UpdateConnectorRegistration,UpdateFlow,UseConnectorProfile,connectorprofile,flow,connector,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
app-integrations;CreateApplication,CreateApplicationAssociation,CreateDataIntegration,CreateDataIntegrationAssociation,CreateDataIntegrationSchedule,CreateEventIntegration,CreateEventIntegrationAssociation,DeleteApplication,DeleteApplicationAssociation,DeleteDataIntegration,DeleteDataIntegrationAssociation,DeleteEventIntegration,DeleteEventIntegrationAssociation,GetApplication,GetDataIntegration,GetDataIntegrationExecution,GetDataIntegrationSchedule,GetEventIntegration,ListApplicationAssociations,ListApplications,ListDataIntegrationAssociations,ListDataIntegrationExecutions,ListDataIntegrationSchedules,ListDataIntegrations,ListEventIntegrationAssociations,ListEventIntegrations,ListTagsForResource,StartDataIntegrationExecution,TagResource,UntagResource,UpdateApplication,UpdateDataIntegration,UpdateDataIntegrationAssociation,UpdateDataIntegrationSchedule,UpdateEventIntegration,event-integration,event-integration-association,data-integration,data-integration-association,application,application-association,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
application-autoscaling;DeleteScalingPolicy,DeleteScheduledAction,DeregisterScalableTarget,DescribeScalableTargets,DescribeScalingActivities,DescribeScalingPolicies,DescribeScheduledActions,GetPredictiveScalingForecast,ListTagsForResource,PutScalingPolicy,PutScheduledAction,RegisterScalableTarget,TagResource,UntagResource,ScalableTarget,application-autoscaling:scalable-dimension,application-autoscaling:service-namespace,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
arsenal;RegisterOnPremisesAgent
discovery;AssociateConfigurationItemsToApplication,BatchDeleteAgents,BatchDeleteImportData,CreateApplication,CreateTags,DeleteApplications,DeleteTags,DescribeAgents,DescribeBatchDeleteConfigurationTask,DescribeConfigurations,DescribeContinuousExports,DescribeExportConfigurations,DescribeExportTasks,DescribeImportTasks,DescribeTags,DisassociateConfigurationItemsFromApplication,ExportConfigurations,GetDiscoverySummary,GetNetworkConnectionGraph,ListConfigurations,ListServerNeighbors,StartBatchDeleteConfigurationTask,StartContinuousExport,StartDataCollectionByAgentIds,StartExportTask,StartImportTask,StopContinuousExport,StopDataCollectionByAgentIds,UpdateApplication,aws:TagKeys
mgn;ArchiveApplication,ArchiveWave,AssociateApplications,AssociateSourceServers,BatchCreateVolumeSnapshotGroupForMgn,BatchDeleteSnapshotRequestForMgn,ChangeServerLifeCycleState,CreateApplication,CreateConnector,CreateLaunchConfigurationTemplate,CreateNetworkMigrationDefinition,CreateReplicationConfigurationTemplate,CreateVcenterClientForMgn,CreateWave,DeleteApplication,DeleteConnector,DeleteJob,DeleteLaunchConfigurationTemplate,DeleteNetworkMigrationDefinition,DeleteReplicationConfigurationTemplate,DeleteSourceServer,DeleteVcenterClient,DeleteWave,DescribeJobLogItems,DescribeJobs,DescribeLaunchConfigurationTemplates,DescribeReplicationConfigurationTemplates,DescribeReplicationServerAssociationsForMgn,DescribeSnapshotRequestsForMgn,DescribeSourceServers,DescribeVcenterClients,DisassociateApplications,DisassociateSourceServers,DisconnectFromService,FinalizeCutover,GetAgentCommandForMgn,GetAgentConfirmedResumeInfoForMgn,GetAgentInstallationAssetsForMgn,GetAgentReplicationInfoForMgn,GetAgentRuntimeConfigurationForMgn,GetAgentSnapshotCreditsForMgn,GetChannelCommandsForMgn,GetLaunchConfiguration,GetNetworkMigrationDefinition,GetNetworkMigrationMapperSegmentConstruct,GetReplicationConfiguration,GetVcenterClientCommandsForMgn,InitializeService,IssueClientCertificateForMgn,ListApplications,ListConnectors,ListExportErrors,ListExports,ListImportErrors,ListImports,ListManagedAccounts,ListNetworkMigrationAnalyses,ListNetworkMigrationAnalysisResults,ListNetworkMigrationCodeGenerationSegments,ListNetworkMigrationCodeGenerations,ListNetworkMigrationDefinitions,ListNetworkMigrationDeployedStacks,ListNetworkMigrationDeployedStacksDeletions,ListNetworkMigrationDeployments,ListNetworkMigrationExecutions,ListNetworkMigrationMapperSegmentConstructs,ListNetworkMigrationMapperSegments,ListNetworkMigrationMappings,ListSourceServerActions,ListTagsForResource,ListTemplateActions,ListWaves,MarkAsArchived,NotifyAgentAuthenticationForMgn,NotifyAgentConnectedForMgn,NotifyAgentDisconnectedForMgn,NotifyAgentReplicationProgressForMgn,NotifyVcenterClientStartedForMgn,PauseReplication,PutSourceServerAction,PutTemplateAction,RegisterAgentForMgn,RemoveSourceServerAction,RemoveTemplateAction,ResumeReplication,RetryDataReplication,SendAgentLogsForMgn,SendAgentMetricsForMgn,SendChannelCommandResultForMgn,SendClientLogsForMgn,SendClientMetricsForMgn,SendVcenterClientCommandResultForMgn,SendVcenterClientLogsForMgn,SendVcenterClientMetricsForMgn,StartCutover,StartExport,StartImport,StartNetworkMigrationAnalysis,StartNetworkMigrationCodeGeneration,StartNetworkMigrationDeployedStacksDeletion,StartNetworkMigrationDeployment,StartNetworkMigrationMapping,StartReplication,StartTest,StopReplication,TagResource,TerminateTargetInstances,UnarchiveApplication,UnarchiveWave,UntagResource,UpdateAgentBacklogForMgn,UpdateAgentConversionInfoForMgn,UpdateAgentReplicationInfoForMgn,UpdateAgentReplicationProcessStateForMgn,UpdateAgentSourcePropertiesForMgn,UpdateApplication,UpdateConnector,UpdateLaunchConfiguration,UpdateLaunchConfigurationTemplate,UpdateNetworkMigrationDefinition,UpdateNetworkMigrationMapperSegment,UpdateNetworkMigrationMapperSegmentConstruct,UpdateReplicationConfiguration,UpdateReplicationConfigurationTemplate,UpdateSourceServer,UpdateSourceServerReplicationType,UpdateWave,VerifyClientRoleForMgn,JobResource,ReplicationConfigurationTemplateResource,LaunchConfigurationTemplateResource,VcenterClientResource,SourceServerResource,ApplicationResource,WaveResource,ImportResource,ExportResource,ConnectorResource,NetworkMigrationDefinitionResource,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys,mgn:CreateAction
arc-zonal-shift;CancelPracticeRun,CancelZonalShift,CreatePracticeRunConfiguration,DeletePracticeRunConfiguration,GetAutoshiftObserverNotificationStatus,GetManagedResource,ListAutoshifts,ListManagedResources,ListZonalShifts,StartPracticeRun,StartZonalShift,UpdateAutoshiftObserverNotificationStatus,UpdatePracticeRunConfiguration,UpdateZonalAutoshiftConfiguration,UpdateZonalShift,ALB,NLB,arc-zonal-shift:ResourceIdentifier,aws:ResourceTag/${TagKey},elasticloadbalancing:ResourceTag/${TagKey}
application-transformation;GetContainerization,GetDeployment,GetGroupingAssessment,GetPortingCompatibilityAssessment,GetPortingRecommendationAssessment,GetRuntimeAssessment,PutLogData,PutMetricData,StartContainerization,StartDeployment,StartGroupingAssessment,StartPortingCompatibilityAssessment,StartPortingRecommendationAssessment,StartRuntimeAssessment
appstream;AssociateAppBlockBuilderAppBlock,AssociateApplicationFleet,AssociateApplicationToEntitlement,AssociateFleet,BatchAssociateUserStack,BatchDisassociateUserStack,CopyImage,CreateAppBlock,CreateAppBlockBuilder,CreateAppBlockBuilderStreamingURL,CreateApplication,CreateDirectoryConfig,CreateEntitlement,CreateFleet,CreateImageBuilder,CreateImageBuilderStreamingURL,CreateStack,CreateStreamingURL,CreateThemeForStack,CreateUpdatedImage,CreateUsageReportSubscription,CreateUser,DeleteAppBlock,DeleteAppBlockBuilder,DeleteApplication,DeleteDirectoryConfig,DeleteEntitlement,DeleteFleet,DeleteImage,DeleteImageBuilder,DeleteImagePermissions,DeleteStack,DeleteThemeForStack,DeleteUsageReportSubscription,DeleteUser,DescribeAppBlockBuilderAppBlockAssociations,DescribeAppBlockBuilders,DescribeAppBlocks,DescribeApplicationFleetAssociations,DescribeApplications,DescribeDirectoryConfigs,DescribeEntitlements,DescribeFleets,DescribeImageBuilders,DescribeImagePermissions,DescribeImages,DescribeSessions,DescribeStacks,DescribeThemeForStack,DescribeUsageReportSubscriptions,DescribeUserStackAssociations,DescribeUsers,DisableUser,DisassociateAppBlockBuilderAppBlock,DisassociateApplicationFleet,DisassociateApplicationFromEntitlement,DisassociateFleet,EnableUser,ExpireSession,ListAssociatedFleets,ListAssociatedStacks,ListEntitledApplications,ListTagsForResource,StartAppBlockBuilder,StartFleet,StartImageBuilder,StopAppBlockBuilder,StopFleet,StopImageBuilder,Stream,TagResource,UntagResource,UpdateAppBlockBuilder,UpdateApplication,UpdateDirectoryConfig,UpdateEntitlement,UpdateFleet,UpdateImagePermissions,UpdateStack,UpdateThemeForStack,fleet,image,image-builder,stack,app-block,application,app-block-builder,appstream:userId,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
appsync;AssociateApi,AssociateMergedGraphqlApi,AssociateSourceGraphqlApi,CreateApi,CreateApiCache,CreateApiKey,CreateChannelNamespace,CreateDataSource,CreateDomainName,CreateFunction,CreateGraphqlApi,CreateResolver,CreateType,DeleteApi,DeleteApiCache,DeleteApiKey,DeleteChannelNamespace,DeleteDataSource,DeleteDomainName,DeleteFunction,DeleteGraphqlApi,DeleteResolver,DeleteResourcePolicy,DeleteType,DisassociateApi,DisassociateMergedGraphqlApi,DisassociateSourceGraphqlApi,EvaluateCode,EvaluateMappingTemplate,EventConnect,EventPublish,EventSubscribe,FlushApiCache,GetApi,GetApiAssociation,GetApiCache,GetChannelNamespace,GetDataSource,GetDataSourceIntrospection,GetDomainName,GetFunction,GetGraphqlApi,GetGraphqlApiEnvironmentVariables,GetIntrospectionSchema,GetResolver,GetResourcePolicy,GetSchemaCreationStatus,GetSourceApiAssociation,GetType,GraphQL,ListApiKeys,ListApis,ListChannelNamespaces,ListDataSources,ListDomainNames,ListFunctions,ListGraphqlApis,ListResolvers,ListResolversByFunction,ListSourceApiAssociations,ListTagsForResource,ListTypes,ListTypesByAssociation,PutGraphqlApiEnvironmentVariables,PutResourcePolicy,SetWebACL,SourceGraphQL,StartDataSourceIntrospection,StartSchemaCreation,StartSchemaMerge,TagResource,UntagResource,UpdateApi,UpdateApiCache,UpdateApiKey,UpdateChannelNamespace,UpdateDataSource,UpdateDomainName,UpdateFunction,UpdateGraphqlApi,UpdateResolver,UpdateSourceApiAssociation,UpdateType,datasource,domain,graphqlapi,field,type,function,sourceApiAssociation,mergedApiAssociation,api,channelNamespace,appsync:Visibility,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
arc-region-switch;ApprovePlanExecutionStep,CancelPlanExecution,CreatePlan,DeletePlan,DeleteResourcePolicy,GetPlan,GetPlanEvaluationStatus,GetPlanExecution,GetPlanInRegion,GetResourcePolicy,ListPlanExecutionEvents,ListPlanExecutions,ListPlans,ListPlansInRegion,ListRoute53HealthChecks,ListTagsForResource,PutResourcePolicy,StartPlanExecution,TagResource,UntagResource,UpdatePlan,UpdatePlanExecution,UpdatePlanExecutionStep,plan,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
artifact;AcceptAgreement,AcceptNdaForAgreement,GetAccountSettings,GetAgreement,GetCustomerAgreement,GetNdaForAgreement,GetReport,GetReportMetadata,GetTermForReport,ListAgreements,ListCustomerAgreements,ListReports,PutAccountSettings,TerminateAgreement,customer-agreement,agreement,report,artifact:ReportCategory,artifact:ReportSeries
